2023-12-10 11:14:53,171:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,171:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,187:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,202:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,218:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,218:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,234:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,234:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,249:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,249:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,249:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,271:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,273:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,273:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,290:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,290:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,306:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,306:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,320:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,322:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,322:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,339:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,339:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,355:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,356:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,372:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,389:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,416:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,422:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,431:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,438:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,439:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,447:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,456:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,456:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,472:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,472:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,489:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,506:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,506:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,582:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,622:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,853:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,856:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,856:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
